Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25
Product Min Max,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
* Can adjust only value column *,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DC Code,DC Name,RDC Code,RDC Name,FC Store Code,FC Store Name,Article Number,Article Name,Article Vendor Name,Selling Unit,Item Flag,Batch Management,MOQ (QTY),Ordering Lead Time (Day),SCGH Item Status,SCGH DC Item Flag,DC Stock,Show & Stock (By Branch),PO Type,Previous Product Class,Product Class,Previous Min Level (QTY),Min Level (QTY) *,Previous Max Level (QTY),Max Level (QTY) *
8910,DC Korat 01,8020012,SCGH Korat RDC test 111,8010,SCGH กระบี่,1128800,วงกบ JB7018-NO สีขาว,,EA,Standard,Yes,0,0,Ready,,,N,,C,A,15,200,21,300
,,,,8050,SCGH นครศรีธรรมราช,1128800,วงกบ JB7018-NO สีขาว,,EA,Standard,Yes,0,0,Ready,,,N,,C,C,4,2,5,2
,,,,8070,SCGH นครสวรรค์,1128800,วงกบ JB7018-NO สีขาว,,EA,Standard,Yes,0,0,Ready,,,N,,C,C,,1,,2
8910,DC Korat 01,,,8020,SCGH โคราช,1088002,เคิร์ลลี่ ไวท์ 10X16 *A,,PC,Standard,Yes,,,Ready,,DC FLOW THROUGH,N,,B,C,,161,,0
8910,DC Korat 01,,,8020,SCGH โคราช,88800,กรุยอลูฯ HAC102020 1.2x200ซม.เงินปัดลาย,,EA,Standard,Yes,0,0,Ready,,DC STOCK,N,,B,C,11,11,0,0
,,,,8060,SCGH เชียงราย,88800,กรุยอลูฯ HAC102020 1.2x200ซม.เงินปัดลาย,,EA,Standard,Yes,0,0,Ready,,DC STOCK,N,,C,C,2,2,3,3
3000-C1,DC TEST 2,8020011,SCGH Korat test01,8080,SCGH 3K หาดใหญ่,88800,กรุยอลูฯ HAC102020 1.2x200ซม.เงินปัดลาย,,EA,Standard,Yes,0,0,Ready,,DC STOCK,N,,C,C,8,29,10,38
8910,DC Korat 01,,,8090,SCGH บุรีรัมย์-นางรอง,88800,กรุยอลูฯ HAC102020 1.2x200ซม.เงินปัดลาย,,EA,Standard,Yes,0,0,Ready,,DC STOCK,N,,B,C,6,4,25,20
,,,,8190,SCGH ทรีเค โฮมเบส,88800,กรุยอลูฯ HAC102020 1.2x200ซม.เงินปัดลาย,,EA,Standard,Yes,0,0,Ready,,DC STOCK,N,,A,B,4,15,11,33
